timestamp,success,latency,code,size,fill,annotation
1487016111,0,3.474143ms,404,73,,
1487016112,0,2.170521ms,404,73,,
1487016113,0,1.474733ms,404,73,,
1487016114,0,1.348159ms,404,73,,
1487016115,0,2.110791ms,404,73,,
1487016116,0,4.988205ms,404,73,,
1487016117,0,3.263643ms,404,73,,
1487016118,0,3.349353ms,404,73,,
1487016119,0,4.523026ms,404,73,,
1487016120,0,2.292136ms,404,73,,
1487016121,0,2.914238ms,404,73,,
1487016122,0,2.559962ms,404,73,,
1487016123,0,4.399273ms,404,73,,
1487016124,0,2.28014ms,404,73,,
1487016125,0,2.494238ms,404,73,,
1487016126,0,2.522766ms,404,73,,
1487016127,0,2.893735ms,404,73,,
1487016128,0,1.18855ms,404,73,,
1487016129,0,2.335489ms,404,73,,
1487016130,0,2.490389ms,404,73,,
1487016131,0,2.708309ms,404,73,,
1487016132,0,2.154722ms,404,73,,
1487016133,0,2.352645ms,404,73,,
1487016134,0,2.650735ms,404,73,,
1487016135,0,2.283328ms,404,73,,
1487016136,0,2.828582ms,404,73,,
1487016137,0,2.810928ms,404,73,,
1487016138,0,2.474866ms,404,73,,
1487016139,0,2.295166ms,404,73,,
1487016140,0,1.596712ms,404,73,,
1487016141,0,2.450467ms,404,73,,
1487016142,0,1.295078ms,404,73,,
1487016143,0,2.201884ms,404,73,,
1487016144,0,2.050463ms,404,73,,
1487016145,0,4.073055ms,404,73,,
1487016146,0,3.111657ms,404,73,,
1487016147,0,2.365091ms,404,73,,
1487016148,0,2.421685ms,404,73,,
1487016149,0,2.071957ms,404,73,,
1487016150,0,2.687264ms,404,73,,
1487016151,0,2.477434ms,404,73,,
1487016152,0,2.349477ms,404,73,,
1487016153,0,2.641549ms,404,73,,
1487016154,0,2.198748ms,404,73,,
1487016155,0,3.807466ms,404,73,,
1487016156,0,4.89924ms,404,73,,
1487016157,0,2.898276ms,404,73,,
1487016158,0,2.162586ms,404,73,,
1487016159,0,2.005435ms,404,73,,
1487016160,0,3.147519ms,404,73,,
